Time,S_2_PM2.5A,S_2_PM10A,S_2_PM2.5B,S_2_PM10B,S_3_PM2.5A,S_3_PM10A,S_3_PM2.5B,S_3_PM10B,S_4_PM2.5A,S_4_PM10A,S_4_PM2.5B,S_4_PM10B,S_5_PM2.5A,S_5_PM10A,S_5_PM2.5B,S_5_PM10B,S_6_PM2.5A,S_6_PM10A,S_6_PM2.5B,S_6_PM10B,S_8_PM2.5A,S_8_PM10A,S_8_PM2.5B,S_8_PM10B,S_9_PM2.5A,S_9_PM10A,S_9_PM2.5B,S_9_PM10B,S_10_PM2.5A,S_10_PM10A,S_10_PM2.5B,S_10_PM10B,S_11_PM2.5A,S_11_PM10A,S_11_PM2.5B,S_11_PM10B,S_12_PM2.5A,S_12_PM10A,S_12_PM2.5B,S_12_PM10B,S_13_PM2.5A,S_13_PM10A,S_13_PM2.5B,S_13_PM10B
2020-06-28 12:00:00,31.08,32.39,34.08,35.69,30.8,32.6,33.36,36.6,32.76,34.91,35.91,38.34,34.49,36.59,35.88,38.7,33.69,35.08,33.16,35.14,35.89,39.61,36.33,39.4,31.09,32.31,30.89,32.74,31.89,33.9,31.91,34.93,35.93,36.81,31.46,32.88,33.16,35.42,35.36,38.18,35.74,38.01,36.15,39.16
2020-06-28 13:00:00,25.72,26.85,28.3,29.74,23.72,25.16,26.58,29.05,26.11,28.46,29.13,31.65,27.38,29.45,28.58,31.49,27.16,28.38,26.53,28.27,29.92,33.21,30.3,32.75,25.61,26.79,26.12,28.23,26.3,28.1,26.57,29.41,30.1,30.98,26.35,27.58,26.13,28.52,27.2,29.37,29.12,31.25,29.45,32.41
2020-06-28 14:00:00,25.88,27.09,28.64,30.09,23.63,24.87,25.24,27.54,25.88,27.86,28.34,30.57,26.6,28.58,27.38,29.54,27.1,28.34,26.34,28.02,29.99,32.94,30.32,32.9,26.18,27.39,26.44,28.37,26.56,28.13,26.98,29.75,29.98,30.81,26.22,27.44,25.81,27.57,27.26,29.56,28.34,30.51,29.46,32.55
2020-06-28 15:00:00,29.22,30.43,32.04,33.61,26.36,27.78,28.29,30.59,28.23,30.2,31.73,33.87,30,31.98,31.03,33.53,29.62,30.74,29.01,30.7,33.57,36.73,34.36,36.95,29.24,30.43,29.47,31.67,29.88,31.62,30.37,33.22,33.48,34.33,29.13,30.44,28.78,30.85,30.19,32.23,31.35,33.85,32.48,35.86
2020-06-28 16:00:00,32.48,33.72,35.62,37.3,28.82,30.28,31.66,34.04,30.96,33.33,34.5,36.57,32.72,34.68,33.89,36.32,32.62,33.74,32.13,34.01,37.48,40.87,37.74,40.63,31.7,33,32.47,34.42,33.16,35.05,33.94,36.76,36.47,37.48,31.99,33.27,31.03,33.01,33.71,36.03,34.06,36.37,34.87,37.61
2020-06-28 17:00:00,39.11,40.53,42.99,44.94,34.44,36.11,36.85,39.81,36.48,38.65,40.25,42.3,39.16,41.14,40.41,43,39.32,40.38,38.33,40.4,44.61,48.73,45.24,48.72,38.1,39.4,38.48,40.54,39.8,42.01,40.49,43.26,43.31,44.3,38.42,39.86,36.48,38.56,39.58,42.25,40.13,42.36,41.07,44.25
2020-06-28 18:00:00,42.35,44.07,46.58,48.54,38.08,39.83,40.93,44.56,39.83,42.25,44.38,46.63,43.06,45.41,43.62,46.19,42.23,43.76,41.33,43.76,47.86,52.64,48.44,52.23,41.05,42.5,41.27,43.23,42.88,45.27,44.04,47.38,46.03,47.01,40.73,42.4,39.96,41.83,43.71,46.49,43.62,45.86,44.85,48.15
2020-06-28 19:00:00,42.64,44.34,46,48.12,38.96,40.9,41.33,45.28,41.37,44.03,44.87,47.72,42.65,45.27,44.09,46.79,41.86,43.34,40.51,42.91,46.96,51.81,47.58,51.38,40.77,42.3,40.84,43.2,42.09,44.71,42.97,46.4,45.39,46.43,40.21,41.89,41.08,43.39,44.23,47.41,44.8,47.28,45.91,49.34
2020-06-28 20:00:00,46.66,48.73,50.78,53.25,45.32,47.68,47.87,52.4,47.24,50.67,51.58,54.48,47.39,50.14,48.65,52.08,45.79,47.34,44.88,47.57,52.7,58.36,53.18,57.37,45.29,46.93,45.28,47.67,46.59,49.48,47.22,50.7,51.13,52.43,45.44,47.74,46.95,49.3,51.79,55.61,51.04,53.72,51.86,55.85
2020-06-28 21:00:00,45.7,47.68,49.69,52.17,44.75,47,47.22,52.04,46.42,49.69,51.37,54.21,46.65,49.53,47.87,51.31,45.04,46.58,43.95,46.39,51.65,56.98,52.29,56.6,45.13,46.95,44.59,47.01,45.78,48.5,46.72,50.2,50.1,51.42,44.79,46.9,46.07,48.33,51.81,55.47,51.05,53.68,51.58,55.58
2020-06-28 22:00:00,46.8,48.8,50.78,53.13,45.3,48,47.99,52.6,47.36,50.74,52.06,55.22,47.11,50.09,48.54,51.92,46.07,47.8,44.66,47.41,52.26,58.1,52.5,56.95,45.85,47.63,45.73,48.33,46.55,49.51,47.52,51.2,50.86,52.16,45.37,47.47,47.51,50.3,52.25,56.26,51.78,54.53,52.71,57.2
2020-06-28 23:00:00,44.01,46.03,48.07,50.19,42.21,44.38,45.37,49.72,44.89,48.68,48.98,51.8,44.56,47.15,45.59,48.67,42.72,44.46,41.63,44.28,49.26,54.56,49.48,53.76,43.2,44.92,43.24,45.63,43.81,46.34,45.08,48.62,47.74,49.08,42.28,44.16,44.72,47.05,49.21,52.67,49.34,52.03,50.06,54.03
2020-06-29 00:00:00,42.88,44.86,46.24,48.81,40.85,43.3,43.85,48.47,44.46,47.88,48.07,51.05,43.69,46.41,44.13,47.28,42.09,43.7,40.72,43.33,47.48,52.77,47.75,51.87,42.18,43.88,41.97,44.59,42.44,45.1,44.05,47.6,46.18,47.47,40.88,42.93,43.04,45.33,46.45,50.16,48.03,50.55,49.58,53.5
2020-06-29 01:00:00,47.84,49.9,51.65,54.14,47.67,50.16,50.16,55.09,49.59,53.33,54.67,57.92,48,51.08,49.06,52.48,46.8,48.59,45.89,48.84,52.99,58.79,53.29,58.02,47.08,48.84,46.86,49.51,47.3,49.99,48.7,52.53,52.18,53.58,46.5,48.63,48.67,51.16,53.33,57.33,52.63,55.18,53.88,58.04
2020-06-29 02:00:00,47.18,49.03,51.32,53.94,46.78,49.27,49.99,54.7,49.15,52.77,54.01,57.22,48.01,50.79,49.61,52.6,46.9,48.38,45.61,48.42,52.94,58.45,53.26,57.8,46.53,48.23,46.94,49.57,47.13,49.85,48.78,52.18,51.39,52.84,45.96,48.11,47.76,50.24,52.85,56.6,52.93,55.59,54.25,58.4
2020-06-29 03:00:00,48.11,50.26,51.72,54.29,47.52,50.41,50.63,55.81,49.78,53.51,55.13,58.21,48.11,50.84,49.67,53,48.07,49.93,46.56,49.41,53.29,59.56,53.81,58.48,47.6,49.42,47.02,49.62,47.19,50.17,49.08,52.84,52.44,53.89,46.47,48.75,48.76,51.05,53.48,57.51,54.02,56.89,54.72,58.66
2020-06-29 04:00:00,47.42,49.72,50.97,53.6,47.53,50.3,50.25,55.04,49.32,53.24,54.54,57.83,48.03,50.8,49.64,53.18,46.46,48.38,45.56,48.51,52.59,58.73,53.63,58.5,46.87,48.7,46.86,49.49,46.97,49.81,48.35,51.83,51.68,53.05,46.61,48.74,48.58,50.98,52.89,56.91,53.62,56.38,53.98,58.18
2020-06-29 05:00:00,46.81,49.09,49.76,52.45,46.76,49.56,49.04,54.67,49.12,53.13,53.69,56.91,47.75,50.75,48.81,52.19,46.41,48.21,45.35,48.23,51.26,57.89,52.02,57.05,46.09,47.82,45.93,48.46,46.26,49.55,48.14,51.5,50.89,52.32,45.74,47.94,47.97,50.24,51.84,56.3,53.19,55.73,53.71,57.86
